LSOA11CD,LAD11CD
E01000001,E09000001
E01000002,E09000001
E01000003,E09000001
E01000005,E09000001
E01000006,E09000002
E01000007,E09000002
E01000008,E09000002
E01000009,E09000002
E01000010,E09000002
E01000011,E09000002
E01000012,E09000002
E01000013,E09000002
E01000014,E09000002
E01000015,E09000002
E01000016,E09000002
E01000017,E09000002
E01000018,E09000002
E01000019,E09000002
E01000020,E09000002
E01000021,E09000002
E01000022,E09000002
E01000023,E09000002
E01000024,E09000002
E01000025,E09000002
E01000027,E09000002
E01000028,E09000002
E01000029,E09000002
E01000030,E09000002
E01000031,E09000002
E01000032,E09000002
E01000033,E09000002
E01000034,E09000002
E01000035,E09000002
E01000036,E09000002
E01000037,E09000002
E01000038,E09000002
E01000039,E09000002
E01000040,E09000002
E01000041,E09000002
E01000042,E09000002
E01000043,E09000002
E01000044,E09000002
E01000045,E09000002
E01000046,E09000002
E01000048,E09000002
E01000049,E09000002
E01000050,E09000002
E01000051,E09000002
E01000052,E09000002
E01000053,E09000002
E01000054,E09000002
E01000055,E09000002
E01000056,E09000002
E01000057,E09000002
E01000058,E09000002
E01000059,E09000002
E01000060,E09000002
E01000061,E09000002
E01000062,E09000002
E01000063,E09000002
E01000064,E09000002
E01000065,E09000002
E01000066,E09000002
E01000067,E09000002
E01000068,E09000002
E01000069,E09000002
E01000070,E09000002
E01000071,E09000002
E01000072,E09000002
E01000073,E09000002
E01000074,E09000002
E01000075,E09000002
E01000076,E09000002
E01000077,E09000002
E01000078,E09000002
E01000079,E09000002
E01000080,E09000002
E01000081,E09000002
E01000082,E09000002
E01000083,E09000002
E01000084,E09000002
E01000085,E09000002
E01000086,E09000002
E01000087,E09000002
E01000088,E09000002
E01000089,E09000002
E01000090,E09000002
E01000091,E09000002
E01000092,E09000002
E01000093,E09000002
E01000094,E09000002
E01000095,E09000002
E01000096,E09000002
E01000097,E09000002
E01000098,E09000002
E01000099,E09000002
E01000100,E09000002
E01000101,E09000002
E01000102,E09000002
E01000103,E09000002
E01000104,E09000002
E01000105,E09000002
E01000106,E09000002
E01000107,E09000002
E01000108,E09000002
E01000109,E09000002
E01000110,E09000002
E01000111,E09000002
E01000112,E09000002
E01000113,E09000002
E01000114,E09000002
E01000115,E09000003
E01000116,E09000003
E01000117,E09000003
E01000118,E09000003
E01000119,E09000003
E01000120,E09000003
E01000121,E09000003
E01000122,E09000003
E01000123,E09000003
E01000124,E09000003
E01000125,E09000003
E01000126,E09000003
E01000127,E09000003
E01000128,E09000003
E01000129,E09000003
E01000130,E09000003
E01000131,E09000003
E01000132,E09000003
E01000133,E09000003
E01000134,E09000003
E01000135,E09000003
E01000136,E09000003
E01000137,E09000003
E01000138,E09000003
E01000139,E09000003
E01000140,E09000003
E01000141,E09000003
E01000142,E09000003
E01000143,E09000003
E01000144,E09000003
E01000145,E09000003
E01000146,E09000003
E01000147,E09000003
E01000148,E09000003
E01000150,E09000003
E01000151,E09000003
E01000152,E09000003
E01000153,E09000003
E01000154,E09000003
E01000155,E09000003
E01000156,E09000003
E01000157,E09000003
E01000158,E09000003
E01000159,E09000003
E01000160,E09000003
E01000161,E09000003
E01000162,E09000003
E01000163,E09000003
E01000164,E09000003
E01000165,E09000003
E01000166,E09000003
E01000167,E09000003
E01000168,E09000003
