"Year","LAD11CD","City","Major","Value"
2008,"E09000001","City of London","Burglary",0
2008,"E09000001","City of London","Criminal Damage",0
2008,"E09000001","City of London","Drugs",0
2008,"E09000001","City of London","Other Notifiable Offences",0
2008,"E09000001","City of London","Robbery",0
2008,"E09000001","City of London","Theft and Handling",0
2008,"E09000001","City of London","Violence Against the Person",0
2008,"E09000002","Barking and Dagenham","Burglary",117
2008,"E09000002","Barking and Dagenham","Criminal Damage",244
2008,"E09000002","Barking and Dagenham","Drugs",101
2008,"E09000002","Barking and Dagenham","Fraud or Forgery",25
2008,"E09000002","Barking and Dagenham","Other Notifiable Offences",16
2008,"E09000002","Barking and Dagenham","Robbery",57
2008,"E09000002","Barking and Dagenham","Sexual Offences",1
2008,"E09000002","Barking and Dagenham","Theft and Handling",455
2008,"E09000002","Barking and Dagenham","Violence Against the Person",395
2008,"E09000003","Barnet","Burglary",346
2008,"E09000003","Barnet","Criminal Damage",216
2008,"E09000003","Barnet","Drugs",108
2008,"E09000003","Barnet","Fraud or Forgery",29
2008,"E09000003","Barnet","Other Notifiable Offences",20
2008,"E09000003","Barnet","Robbery",65
2008,"E09000003","Barnet","Sexual Offences",3
2008,"E09000003","Barnet","Theft and Handling",783
2008,"E09000003","Barnet","Violence Against the Person",364
2008,"E09000004","Bexley","Burglary",135
2008,"E09000004","Bexley","Criminal Damage",213
2008,"E09000004","Bexley","Drugs",81
2008,"E09000004","Bexley","Fraud or Forgery",8
2008,"E09000004","Bexley","Other Notifiable Offences",12
2008,"E09000004","Bexley","Robbery",33
2008,"E09000004","Bexley","Sexual Offences",3
2008,"E09000004","Bexley","Theft and Handling",398
2008,"E09000004","Bexley","Violence Against the Person",253
2008,"E09000005","Brent","Burglary",262
2008,"E09000005","Brent","Criminal Damage",212
2008,"E09000005","Brent","Drugs",247
2008,"E09000005","Brent","Fraud or Forgery",6
2008,"E09000005","Brent","Other Notifiable Offences",25
2008,"E09000005","Brent","Robbery",112
2008,"E09000005","Brent","Sexual Offences",3
2008,"E09000005","Brent","Theft and Handling",543
2008,"E09000005","Brent","Violence Against the Person",411
2008,"E09000006","Bromley","Burglary",233
2008,"E09000006","Bromley","Criminal Damage",376
2008,"E09000006","Bromley","Drugs",68
2008,"E09000006","Bromley","Fraud or Forgery",16
2008,"E09000006","Bromley","Other Notifiable Offences",17
2008,"E09000006","Bromley","Robbery",55
2008,"E09000006","Bromley","Sexual Offences",1
2008,"E09000006","Bromley","Theft and Handling",790
2008,"E09000006","Bromley","Violence Against the Person",380
2008,"E09000007","Camden","Burglary",326
2008,"E09000007","Camden","Criminal Damage",214
2008,"E09000007","Camden","Drugs",213
2008,"E09000007","Camden","Fraud or Forgery",13
2008,"E09000007","Camden","Other Notifiable Offences",35
2008,"E09000007","Camden","Robbery",86
2008,"E09000007","Camden","Sexual Offences",3
2008,"E09000007","Camden","Theft and Handling",1186
2008,"E09000007","Camden","Violence Against the Person",378
2008,"E09000008","Croydon","Burglary",262
2008,"E09000008","Croydon","Criminal Damage",327
2008,"E09000008","Croydon","Drugs",205
2008,"E09000008","Croydon","Fraud or Forgery",14
2008,"E09000008","Croydon","Other Notifiable Offences",30
2008,"E09000008","Croydon","Robbery",130
2008,"E09000008","Croydon","Sexual Offences",3
2008,"E09000008","Croydon","Theft and Handling",774
2008,"E09000008","Croydon","Violence Against the Person",529
2008,"E09000009","Ealing","Burglary",299
2008,"E09000009","Ealing","Criminal Damage",279
2008,"E09000009","Ealing","Drugs",179
