"Year","LAD11CD","City","Burglary","Vandalism","Drugs","Robbery","Fraud","Sexual","Theft","Violence","Other","Total","Top.Crime","BurglaryPct","VandalismPct","DrugsPct","RobberyPct","TheftPct","ViolencePct","OtherPct"
2008,"E09000001","City of London",0,0,0,0,0,0,0,0,0,0,"Burglary",0,0,0,0,0,0,0
2008,"E09000002","Barking and Dagenham",117,244,101,57,25,1,455,395,16,1411,"Theft and Handling",8.29,17.29,7.16,4.04,32.25,27.99,1.13
2008,"E09000003","Barnet",346,216,108,65,29,3,783,364,20,1934,"Theft and Handling",17.89,11.17,5.58,3.36,40.49,18.82,1.03
2008,"E09000004","Bexley",135,213,81,33,8,3,398,253,12,1136,"Theft and Handling",11.88,18.75,7.13,2.9,35.04,22.27,1.06
2008,"E09000005","Brent",262,212,247,112,6,3,543,411,25,1821,"Theft and Handling",14.39,11.64,13.56,6.15,29.82,22.57,1.37
2008,"E09000006","Bromley",233,376,68,55,16,1,790,380,17,1936,"Theft and Handling",12.04,19.42,3.51,2.84,40.81,19.63,0.88
2008,"E09000007","Camden",326,214,213,86,13,3,1186,378,35,2454,"Theft and Handling",13.28,8.72,8.68,3.5,48.33,15.4,1.43
2008,"E09000008","Croydon",262,327,205,130,14,3,774,529,30,2274,"Theft and Handling",11.52,14.38,9.01,5.72,34.04,23.26,1.32
2008,"E09000009","Ealing",299,279,179,95,6,1,770,523,39,2191,"Theft and Handling",13.65,12.73,8.17,4.34,35.14,23.87,1.78
2008,"E09000010","Enfield",274,253,167,97,7,1,554,293,30,1676,"Theft and Handling",16.35,15.1,9.96,5.79,33.05,17.48,1.79
2008,"E09000011","Greenwich",255,270,125,57,4,2,555,438,24,1730,"Theft and Handling",14.74,15.61,7.23,3.29,32.08,25.32,1.39
2008,"E09000012","Hackney",168,166,262,67,12,5,594,480,14,1768,"Theft and Handling",9.5,9.39,14.82,3.79,33.6,27.15,0.79
2008,"E09000013","Hammersmith and Fulham",203,164,179,53,10,2,735,322,10,1678,"Theft and Handling",12.1,9.77,10.67,3.16,43.8,19.19,0.6
2008,"E09000014","Haringey",284,265,143,96,43,5,795,368,17,2016,"Theft and Handling",14.09,13.14,7.09,4.76,39.43,18.25,0.84
2008,"E09000015","Harrow",155,121,78,44,6,0,344,249,16,1013,"Theft and Handling",15.3,11.94,7.7,4.34,33.96,24.58,1.58
2008,"E09000016","Havering",172,242,84,26,19,1,496,235,21,1296,"Theft and Handling",13.27,18.67,6.48,2.01,38.27,18.13,1.62
2008,"E09000017","Hillingdon",220,278,119,100,24,3,725,446,31,1946,"Theft and Handling",11.31,14.29,6.12,5.14,37.26,22.92,1.59
2008,"E09000018","Hounslow",161,212,148,43,11,4,598,397,31,1605,"Theft and Handling",10.03,13.21,9.22,2.68,37.26,24.74,1.93
2008,"E09000019","Islington",279,190,170,90,4,3,785,401,26,1948,"Theft and Handling",14.32,9.75,8.73,4.62,40.3,20.59,1.33
2008,"E09000020","Kensington and Chelsea",149,116,206,42,12,0,726,239,16,1506,"Theft and Handling",9.89,7.7,13.68,2.79,48.21,15.87,1.06
2008,"E09000021","Kingston upon Thames",76,130,44,24,1,1,394,171,7,848,"Theft and Handling",8.96,15.33,5.19,2.83,46.46,20.17,0.83
2008,"E09000022","Lambeth",250,277,332,162,9,10,860,552,35,2487,"Theft and Handling",10.05,11.14,13.35,6.51,34.58,22.2,1.41
2008,"E09000023","Lewisham",226,268,190,95,26,2,644,604,29,2084,"Theft and Handling",10.84,12.86,9.12,4.56,30.9,28.98,1.39
2008,"E09000024","Merton",135,153,55,47,14,2,305,276,22,1009,"Theft and Handling",13.38,15.16,5.45,4.66,30.23,27.35,2.18
2008,"E09000025","Newham",220,260,220,124,29,3,918,481,42,2297,"Theft and Handling",9.58,11.32,9.58,5.4,39.97,20.94,1.83
2008,"E09000026","Redbridge",246,181,184,83,31,1,641,277,12,1656,"Theft and Handling",14.86,10.93,11.11,5.01,38.71,16.73,0.72
2008,"E09000027","Richmond upon Thames",116,128,52,9,3,8,324,136,19,795,"Theft and Handling",14.59,16.1,6.54,1.13,40.75,17.11,2.39
2008,"E09000028","Southwark",283,283,296,152,12,3,1028,607,36,2700,"Theft and Handling",10.48,10.48,10.96,5.63,38.07,22.48,1.33
2008,"E09000029","Sutton",137,141,19,20,3,0,388,183,17,908,"Theft and Handling",15.09,15.53,2.09,2.2,42.73,20.15,1.87
2008,"E09000030","Tower Hamlets",184,222,195,68,8,3,739,488,34,1941,"Theft and Handling",9.48,11.44,10.05,3.5,38.07,25.14,1.75
2008,"E09000031","Waltham Forest",298,270,158,103,29,3,567,440,24,1892,"Theft and Handling",15.75,14.27,8.35,5.44,29.97,23.26,1.27
2008,"E09000032","Wandsworth",238,233,101,52,12,2,762,411,18,1829,"Theft and Handling",13.01,12.74,5.52,2.84,41.66,22.47,0.98
2008,"E09000033","Westminster",183,192,414,97,43,3,1597,489,22,3040,"Theft and Handling",6.02,6.32,13.62,3.19,52.53,16.09,0.72
2009,"E09000001","City of London",0,0,0,0,0,0,0,0,0,0,"Burglary",0,0,0,0,0,0,0
2009,"E09000002","Barking and Dagenham",189,207,69,62,0,0,387,389,36,1339,"Violence Against the Person",14.12,15.46,5.15,4.63,28.9,29.05,2.69
2009,"E09000003","Barnet",314,212,113,55,0,0,806,373,23,1896,"Theft and Handling",16.56,11.18,5.96,2.9,42.51,19.67,1.21
2009,"E09000004","Bexley",146,225,41,25,0,0,331,319,14,1101,"Theft and Handling",13.26,20.44,3.72,2.27,30.06,28.97,1.27
2009,"E09000005","Brent",276,195,162,119,0,0,615,475,18,1860,"Theft and Handling",14.84,10.48,8.71,6.4,33.06,25.54,0.97
2009,"E09000006","Bromley",269,253,89,58,0,0,577,430,18,1694,"Theft and Handling",15.88,14.94,5.25,3.42,34.06,25.38,1.06
2009,"E09000007","Camden",263,180,249,104,0,0,1116,440,36,2388,"Theft and Handling",11.01,7.54,10.43,4.36,46.73,18.43,1.51
2009,"E09000008","Croydon",299,262,214,118,0,0,880,486,24,2283,"Theft and Handling",13.1,11.48,9.37,5.17,38.55,21.29,1.05
2009,"E09000009","Ealing",300,265,211,121,0,0,838,569,30,2334,"Theft and Handling",12.85,11.35,9.04,5.18,35.9,24.38,1.29
2009,"E09000010","Enfield",331,263,144,93,0,0,550,325,27,1733,"Theft and Handling",19.1,15.18,8.31,5.37,31.74,18.75,1.56
2009,"E09000011","Greenwich",275,248,65,69,0,0,449,412,30,1548,"Theft and Handling",17.76,16.02,4.2,4.46,29.01,26.61,1.94
2009,"E09000012","Hackney",159,128,185,58,0,0,526,419,28,1503,"Theft and Handling",10.58,8.52,12.31,3.86,35,27.88,1.86
2009,"E09000013","Hammersmith and Fulham",121,164,159,52,0,0,784,305,25,1610,"Theft and Handling",7.52,10.19,9.88,3.23,48.7,18.94,1.55
2009,"E09000014","Haringey",289,204,177,97,0,0,719,359,27,1872,"Theft and Handling",15.44,10.9,9.46,5.18,38.41,19.18,1.44
2009,"E09000015","Harrow",166,143,72,26,0,0,350,298,17,1072,"Theft and Handling",15.49,13.34,6.72,2.43,32.65,27.8,1.59
2009,"E09000016","Havering",222,172,71,26,0,0,452,236,12,1191,"Theft and Handling",18.64,14.44,5.96,2.18,37.95,19.82,1.01
2009,"E09000017","Hillingdon",251,283,87,58,0,0,644,435,72,1830,"Theft and Handling",13.72,15.46,4.75,3.17,35.19,23.77,3.93
2009,"E09000018","Hounslow",187,231,116,73,0,0,487,430,16,1540,"Theft and Handling",12.14,15,7.53,4.74,31.62,27.92,1.04
2009,"E09000019","Islington",224,146,168,67,0,0,1027,439,27,2098,"Theft and Handling",10.68,6.96,8.01,3.19,48.95,20.92,1.29
2009,"E09000020","Kensington and Chelsea",120,100,154,45,0,0,893,203,24,1539,"Theft and Handling",7.8,6.5,10.01,2.92,58.02,13.19,1.56
2009,"E09000021","Kingston upon Thames",88,111,40,28,0,0,451,145,5,868,"Theft and Handling",10.14,12.79,4.61,3.23,51.96,16.71,0.58
2009,"E09000022","Lambeth",325,238,189,159,0,0,783,554,35,2283,"Theft and Handling",14.24,10.42,8.28,6.96,34.3,24.27,1.53
2009,"E09000023","Lewisham",209,283,265,70,0,0,584,565,32,2008,"Theft and Handling",10.41,14.09,13.2,3.49,29.08,28.14,1.59
2009,"E09000024","Merton",132,153,86,31,0,0,332,270,19,1023,"Theft and Handling",12.9,14.96,8.41,3.03,32.45,26.39,1.86
2009,"E09000025","Newham",226,284,181,149,0,0,726,583,34,2183,"Theft and Handling",10.35,13.01,8.29,6.83,33.26,26.71,1.56
2009,"E09000026","Redbridge",240,168,171,67,0,0,611,323,27,1607,"Theft and Handling",14.93,10.45,10.64,4.17,38.02,20.1,1.68
2009,"E09000027","Richmond upon Thames",122,112,55,8,0,0,300,146,3,746,"Theft and Handling",16.35,15.01,7.37,1.07,40.21,19.57,0.4
2009,"E09000028","Southwark",219,261,257,118,0,0,756,648,61,2320,"Theft and Handling",9.44,11.25,11.08,5.09,32.59,27.93,2.63
2009,"E09000029","Sutton",123,133,35,25,0,0,442,200,15,973,"Theft and Handling",12.64,13.67,3.6,2.57,45.43,20.55,1.54
2009,"E09000030","Tower Hamlets",120,192,172,53,0,0,614,386,30,1567,"Theft and Handling",7.66,12.25,10.98,3.38,39.18,24.63,1.91
2009,"E09000031","Waltham Forest",294,246,174,125,0,0,648,469,24,1980,"Theft and Handling",14.85,12.42,8.79,6.31,32.73,23.69,1.21
2009,"E09000032","Wandsworth",213,189,100,114,0,0,702,395,13,1726,"Theft and Handling",12.34,10.95,5.79,6.6,40.67,22.89,0.75
2009,"E09000033","Westminster",217,190,197,73,0,0,1969,466,60,3172,"Theft and Handling",6.84,5.99,6.21,2.3,62.07,14.69,1.89
2010,"E09000001","City of London",0,0,0,0,0,0,0,0,0,0,"Burglary",0,0,0,0,0,0,0
2010,"E09000002","Barking and Dagenham",145,175,113,62,0,0,415,360,25,1295,"Theft and Handling",11.2,13.51,8.73,4.79,32.05,27.8,1.93
2010,"E09000003","Barnet",341,241,89,62,0,0,756,312,32,1833,"Theft and Handling",18.6,13.15,4.86,3.38,41.24,17.02,1.75
